,state,latitude,longitude,n_killed,location_description
10783,Illinois,41.4577,-90.5073,0,MLI Int'l Airport
10787,Arizona,33.4538,-112.074,1,San Carlos Indian Reservation
10793,Pennsylvania,40.5763,-75.4696,0,Brandywine Apts
10794,Georgia,33.9218,-84.5781,1,Pointes of Marietta
10907,Michigan,42.5411,-82.8808,1,Moon Lite party store
10914,Tennessee,35.2274,-89.9868,0,Point Church Apts
10968,Louisiana,30.5876,-91.1741,3,Baker Civic Club
10975,Arkansas,34.6225,-92.3645,0,Family Dollar
10978,South Carolina,33.8861,-81.051,0,El Cheapo Gas Station
10979,Texas,30.0231,-95.4224,0,Smart Financial Credit Union
10980,Ohio,41.1359,-81.6389,0,Mustard Seed Market & Cafe
11075,Indiana,41.5508,-87.1364,0,Family Express
11076,Pennsylvania,39.9383,-75.3578,0,AMC Marple 10 Theater
11189,Pennsylvania,40.3558,-78.941,1,Edder's Den
11190,Indiana,39.8253,-86.1219,1,Body Gear
11280,New Hampshire,42.9977,-71.4665,0,US Army National Guard Armory
11282,New Jersey,39.7656,-74.9987,0,Jimmy's Deli
11286,New York,42.1212,-75.9595,2,Southern Tier Imaging
11291,Ohio,39.8204,-84.205,0,Eagle Ridge Apts
11294,California,37.7995,-122.23299999999999,1,Highland Hospital
11299,New Jersey,39.7195,-75.0853,0,Pantry 1 Food Store
11442,Georgia,32.4375,-84.9598,1,Carousel Lounge
11564,Kentucky,36.8342,-86.9012,2,Logan Heights Apartment Complex
11570,Minnesota,44.882,-93.205,0,MSP Int'l Airport
11571,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
11883,Illinois,36.9059,-89.3523,0,Mile Marker 10
11884,Tennessee,36.0526,-84.5321,0,Mossy Grove Food Mart
11892,Ohio,39.427,-84.5975,0,Doubles Bar
11965,North Carolina,36.0735,-76.5991,0,Famous Subs
11966,Texas,32.8982,-97.0404,0,Dallas/Ft Worth International (DFW)
11990,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
12035,Illinois,38.6163,-90.1468,0,Highway Market
12038,Texas,29.8658,-95.48700000000001,0,CVS
12060,Michigan,41.9145,-83.4312,0,Willow Green Mobile Home Park
12082,Minnesota,44.882,-93.205,0,MSP Int'l Airport
12272,California,34.0883,-118.384,1,Apartment 201
12274,Texas,32.8881,-97.0374,0,DFW Int'l Airport
12287,Pennsylvania,40.0031,-75.223,0,Citizen's Bank inside Acme Market
12322,Ohio,41.4168,-81.5838,1,Prime Station
12336,Kansas,39.1242,-94.7424,0,Painted Hills Golf Course
12339,Texas,32.8881,-97.0374,0,DFW Int'l Airport
12553,Oklahoma,36.162,-96.0191,1,Gilcrease Hills West Shopping Center
12595,Delaware,39.7353,-75.6913,0,Wawa Gas Station
12597,Texas,32.8881,-97.0374,0,DFW Int'l Airport
12600,Virginia,38.4762,-77.4236,0,Darian Jewelers
12721,West Virginia,37.2467,-81.2417,0,First Century Bank
12826,Texas,32.8881,-97.0374,0,DFW Int'l Airport
12957,Georgia,33.9245,-84.2822,0,Chateau at Dunwoody apartments
12965,California,34.0977,-118.304,1,99 Cents Only
12968,Georgia,34.4575,-83.0008,3,Frohmullers Grill Shop and Bait
12969,Arizona,32.6994,-114.645,1,Lin's Grand Buffet
12974,Michigan,43.5397,-83.964,0,Junior's Hookah Lounge
13108,Florida,27.5542,-80.3963,0,Lakewood Park
13114,Arkansas,35.648,-91.1353,0,Southwest Steel Processing
13118,Georgia,31.6194,-84.1768,0,Dollar Inn
13120,Texas,27.795,-97.3989,1,Tim's Market
13122,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
13309,Ohio,41.4575,-81.565,0,Nile Valley Restaurant
13371,Florida,27.3375,-82.5145,0,CVS
13375,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
13384,Georgia,33.5947,-84.4973,1,Chevron
13522,South Carolina,34.8783,-82.2245,0,GSP Int'l Airport
13548,South Carolina,34.5163,-82.6631,0,Thomas Food Mart
13551,South Carolina,34.9645,-80.9871,0,Patriots Crossing Apartments
13588,Ohio,39.7571,-84.2352,1,Smiths Superette
13598,Texas,30.0449,-95.3472,0,Chase Bank
13608,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
13609,New Jersey,40.638000000000005,-74.2022,0,Bayway Scrap Metal
13610,Michigan,42.3482,-83.0618,1,Big Apple Market
13787,Arizona,32.2162,-110.971,0,Palo Verde Bar and Grill
